_id,singkat,hasil
1193,telp,telepon
1194,telpon,telepon 
1195,temen,teman 
1196,temen2,teman-teman 
1197,temenin,temani 
1198,tercyduk,terciduk
1199,teriakk,teriak 
1200,teros,terus 
1201,tetep,tetap 
1202,tgannya,tangannya 
1203,tggu,tunggu 
1204,tgh,tengah 
1205,tgl,tanggal 
1206,tgl,tanggal
1207,tgn,tangan 
1208,tgs,tugas 
1209,thd,terhadap 
1210,thdp,terhadap 
1211,thks,terima kasih
1212,thn,tahun 
1213,thnx,terima kasih
1214,thx,terima kasih
1215,tida,tidak 
1216,tipi,tv 
1217,tipi,televisi
1218,tkut,tsayat 
1219,tlg,tolong 
1220,tlh,telah 
1221,tlng,tolong 
1222,tlp,telepon 
1223,tlpn,telepon 
1224,tamvan,tampan
1225,tmbah,tambah 
1226,tmbh,tambah 
1227,tmen,teman 
1228,tmn,teman 
1229,tmpat,tempat 
1230,tmpt,tempat 
1231,tmsk,termasuk 
1232,tnp,tanpa 
1233,tnpa,tanpa 
1234,tny,ternyata 
1235,tnya,tanya 
1236,tnyt,ternyata 
1237,tp,tapi 
1238,tp,tapi
1239,tpi,tapi 
1240,tq,terima kasih
1241,trdpt,terdapat 
1242,trgntng,tergantung 
